20151006,1,9/7/2015 16:47,Yes,2,3,3,3,4,4,3,4,2,3,3,3,17,5.7,,0,,,,
20150529,1,9/7/2015 17:59,Yes,3,3,2,3,2,4,4,4,2,3,3,3,16,5.3,,0,,,,
20150653,1,9/7/2015 15:39,Yes,2,3,3,3,4,4,4,4,3,3,3,3,19,6.3,,0,,,,
20150919,1,9/7/2015 10:42,Yes,1,3,3,3,2,4,2,4,2,3,-,3,10,3.3,,0,,,,
20150731,1,9/7/2015 8:14,Yes,2,3,3,3,3,4,3,4,-,3,2,3,13,4.3,,0,,,,
20150134,1,9/7/2015 15:51,Yes,1,3,1,3,2,4,1,4,2,3,3,3,10,3.3,,0,,,,
20150785,1,9/7/2015 16:37,Yes,1,3,3,3,2,4,3,4,1,3,3,3,13,4.3,,0,,,,
20150657,1,9/7/2015 10:47,Yes,3,3,3,3,4,4,1,4,3,3,2,3,16,5.3,,0,,,,
20150023,1,9/6/2015 15:34,Yes,3,3,3,3,2,4,3,4,0,3,2,3,13,4.3,,0,,,,
20150698,1,9/6/2015 17:35,Yes,2,3,-,3,2,4,2,4,1,3,2,3,9,3.0,,0,,,,
20150242,1,9/7/2015 11:02,Yes,1,3,-,3,1,4,4,4,3,3,2,3,11,3.7,,0,,,,
20150804,1,9/6/2015 22:13,Yes,-,3,1,3,1,4,4,4,2,3,3,3,11,3.7,,0,,,,
20151026,1,9/7/2015 11:46,Yes,3,3,1,3,2,4,-,4,3,3,2,3,11,3.7,,0,,,,
20151091,1,9/7/2015 17:59,Yes,2,3,2,3,4,4,2,4,0,3,-,3,10,3.3,,0,,,,
20150739,1,9/6/2015 22:49,Yes,2,3,3,3,3,4,4,4,-,3,2,3,14,4.7,,0,,,,
20150014,1,9/7/2015 17:21,Yes,3,3,3,3,4,4,4,4,3,3,2,3,19,6.3,,0,,,,
20150232,1,9/7/2015 12:47,Yes,3,3,2,3,4,4,2,4,-,3,0,3,11,3.7,,0,,,,
20150994,1,9/7/2015 13:49,Yes,2,3,2,3,4,4,3,4,3,3,2,3,16,5.3,,0,,,,
20150299,1,9/7/2015 17:43,Yes,3,3,1,3,3,4,1,4,-,3,3,3,11,3.7,,0,,,,
20150687,1,9/7/2015 16:12,Yes,0,3,2,3,4,4,4,4,2,3,1,3,13,4.3,,0,,,,
20150069,1,9/7/2015 16:10,Yes,3,3,1,3,4,4,3,4,3,3,2,3,16,5.3,,0,,,,
20150979,1,9/6/2015 12:04,Yes,2,3,3,3,2,4,3,4,-,3,-,3,10,3.3,,0,,,,
20150332,1,9/7/2015 16:58,Yes,3,3,2,3,1,4,3,4,0,3,2,3,11,3.7,,0,,,,
20150193,1,9/6/2015 14:22,Yes,-,3,2,3,4,4,2,4,1,3,3,3,12,4.0,,0,,,,
20150042,1,9/7/2015 10:09,Yes,3,3,3,3,3,4,2,4,1,3,2,3,14,4.7,,0,,,,
20150233,1,9/6/2015 19:19,Yes,3,3,3,3,2,4,4,4,2,3,1,3,15,5.0,,0,,,,
20151125,1,9/7/2015 17:45,Yes,3,3,2,3,3,4,4,4,-,3,3,3,15,5.0,,0,,,,
20150277,1,9/7/2015 15:08,Yes,3,3,-,3,4,4,4,4,2,3,3,3,16,5.3,,0,,,,
20150066,1,9/7/2015 16:07,Yes,2,3,2,3,4,4,4,4,3,3,2,3,17,5.7,,0,,,,
20150378,1,9/6/2015 18:22,Yes,3,3,2,3,3,4,4,4,3,3,3,3,18,6.0,,0,,,,
20150223,1,9/7/2015 10:33,Yes,3,3,3,3,4,4,4,4,3,3,3,3,20,6.7,,0,,,,
20150812,1,9/7/2015 16:52,Yes,0,3,3,3,4,4,4,4,2,3,1,3,14,4.7,,0,,,,
20150836,1,9/7/2015 17:17,Yes,2,3,3,3,4,4,3,4,0,3,3,3,15,5.0,,0,,,,
20151047,1,9/7/2015 16:13,Yes,3,3,3,3,2,4,2,4,2,3,3,3,15,5.0,,0,,,,
20151101,1,9/7/2015 9:18,Yes,3,3,3,3,4,4,4,4,3,3,3,3,20,6.7,,0,,,,
20150683,1,9/6/2015 23:00,Yes,3,3,2,3,4,4,4,4,3,3,3,3,19,6.3,,0,,,,
20150651,1,9/7/2015 15:48,Yes,2,3,3,3,4,4,2,4,2,3,-,3,13,4.3,,0,,,,
20150424,1,9/7/2015 17:06,Yes,3,3,3,3,3,4,4,4,3,3,3,3,19,6.3,,0,,,,
20150970,1,9/6/2015 19:08,Yes,1,3,0,3,2,4,2,4,2,3,3,3,10,3.3,,0,,,,
20150044,1,9/6/2015 14:20,Yes,0,3,2,3,2,4,4,4,2,3,3,3,13,4.3,,0,,,,
20150485,1,9/7/2015 12:29,Yes,1,3,3,3,4,4,2,4,0,3,2,3,12,4.0,,0,,,,
20150965,1,9/7/2015 15:53,Yes,3,3,3,3,4,4,2,4,1,3,3,3,16,5.3,,0,,,,
20151126,1,9/7/2015 10:14,Yes,3,3,1,3,3,4,4,4,2,3,3,3,16,5.3,,0,,,,
20150616,1,9/7/2015 13:11,Yes,2,3,1,3,3,4,2,4,3,3,3,3,14,4.7,,0,,,,
